semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Input Nilai Ujian Akhir Semester (UAS) | tanggal_mulai: 28 Mei 2026 | tanggal_selesai: 15 Juni 2026 | halaman: 6
semester: Genap | kategori: Perkuliahan dan Pembelajaran | kegiatan: Verifikasi Data Status Mahasiswa | tanggal_mulai: 10 Februari 2026 | tanggal_selesai: 14 Februari 2026 | halaman: 6
semester: Genap | kategori: Kukerta dan Wisuda | kegiatan: Pelaksanaan Kuliah Kerja Nyata (KUKERT A) Juli 20 | tanggal_mulai: 26 Agustus 2026 | tanggal_selesai: 26 Agustus 2026 | halaman: 6
semester: Genap | kategori: Kukerta dan Wisuda | kegiatan: Pendaftaran Wisuda Januari 20 | tanggal_mulai: 26 Desember 2026 | tanggal_selesai: 26 Desember 2026 | halaman: 6
semester: Genap | kategori: Kukerta dan Wisuda | kegiatan: Wisuda ke-125 | tanggal_mulai: 24 Februari 2026 | tanggal_selesai: 25 Februari 2026 | halaman: 6
semester: Genap | kategori: Kukerta dan Wisuda | kegiatan: Wisuda ke-126 | tanggal_mulai: 19 Mei 2026 | tanggal_selesai: 20 Mei 2026 | halaman: 6
semester: Genap | kategori: Evaluasi Mahasiswa | kegiatan: Evaluasi Mahasiswa 4, 8 dan 14 Semester oleh Fakultas | tanggal_mulai: 18 Juni 2026 | tanggal_selesai: 30 Juni 2026 | halaman: 6
semester: Genap | kategori: Evaluasi Mahasiswa | kegiatan: Penerbitan SK Rektor tentang Evaluasi Mahasiswa | tanggal_mulai: 01 Juli 2026 | tanggal_selesai: 01 Juli 2026 | halaman: 6
semester: Genap | kategori: Kegiatan Akademik Lainnya | kegiatan: Kegiatan Dies Natalis | tanggal_mulai: 03 Oktober 2026 | tanggal_selesai: 03 Oktober 2026 | halaman: 7
semester: Genap | kategori: Kegiatan Akademik Lainnya | kegiatan: Pengukuhan Guru Besar Januari 20 | tanggal_mulai: 26 Desember 2026 | tanggal_selesai: 26 Desember 2026 | halaman: 7
semester: Genap | kategori: Kegiatan Akademik Lainnya | kegiatan: Finalisasi Pelaporan data PDDIKTJ Semester Ganji] | tanggal_mulai: 10 April 2026 | tanggal_selesai: 10 April 2026 | halaman: 7
semester: Genap | kategori: Kegiatan Akademik Lainnya | kegiatan: Finalisasi Pelaporan data PDDIKTI Semester Genap | tanggal_mulai: 10 Oktober 2026 | tanggal_selesai: 10 Oktober 2026 | halaman: 7
